#    time               <x>               <y>             var_x             var_y             var_r            <mv_x>            <mv_y>           var_mvx           var_mvy            var_mv                        E                     E-E0              <Px>            var_Px            var_Py             var_P               err
 0.345575  -9.409109408e-01   3.386224696e-01   3.722438417e-01   3.029523548e-01   6.751961965e-01   3.386224696e-01   9.405753230e-01   5.691880187e-01   3.369281381e-01   9.061161568e-01   9.5273151831083647e-01  -1.0436096431476471e-14   1.887614644e-16   3.018983425e-01   3.369281381e-01   6.388264806e-01  -5.284661597e-14
 0.376991  -9.298122739e-01   3.679996256e-01   3.852169386e-01   3.033809108e-01   6.885978494e-01   3.679996256e-01   9.294790095e-01   5.629178750e-01   3.431904746e-01   9.061083495e-01   9.5273151831084157e-01  -5.3290705182007514e-15   1.536557791e-16   3.018983425e-01   3.431904746e-01   6.450888170e-01  -3.652633751e-14
 0.408407  -9.177964755e-01   3.970137475e-01   3.991782109e-01   3.039287703e-01   7.031069812e-01   3.970137475e-01   9.174657458e-01   5.562134233e-01   3.498866030e-01   9.061000263e-01   9.5273151831080172e-01  -4.5186077102243871e-14   3.065135089e-16   3.018983425e-01   3.498866030e-01   6.517849454e-01  -4.141131882e-14
 0.439823  -9.048753994e-01   4.256362121e-01   4.140940581e-01   3.046152313e-01   7.187092894e-01   4.256362121e-01   9.045473805e-01   5.491011008e-01   3.569901239e-01   9.060912247e-01   9.5273151831079439e-01  -5.2513549064769904e-14   3.932570561e-16   3.018983425e-01   3.569901239e-01   6.588884663e-01  -6.761258220e-14
 0.471239  -8.910617922e-01   4.538387826e-01   4.299287316e-01   3.054606625e-01   7.353893940e-01   4.538387826e-01   8.907366545e-01   5.416089541e-01   3.644730302e-01   9.060819843e-01   9.5273151831079650e-01  -5.0404125317982107e-14   6.045000718e-16   3.018983425e-01   3.644730302e-01   6.663713727e-01  -8.237854843e-14
 0.502655  -8.763692813e-01   4.815936365e-01   4.466444522e-01   3.064864006e-01   7.531308528e-01   4.815936365e-01   8.760471895e-01   5.337665288e-01   3.723058176e-01   9.060723464e-01   9.5273151831079905e-01  -4.7850612361344247e-14   7.502613826e-16   3.018983425e-01   3.723058176e-01   6.742041601e-01  -5.451195051e-14
 0.534071  -8.608123609e-01   5.088733926e-01   4.642015354e-01   3.077146420e-01   7.719161774e-01   5.088733926e-01   8.604934738e-01   5.256047531e-01   3.804576003e-01   9.060623535e-01   9.5273151831079872e-01  -4.8183679268731794e-14   2.553449282e-16   3.018983425e-01   3.804576003e-01   6.823559428e-01  -6.128431096e-14
 0.565487  -8.444063782e-01   5.356511385e-01   4.825585217e-01   3.091683291e-01   7.917268508e-01   5.356511385e-01   8.440908483e-01   5.171558163e-01   3.888962329e-01   9.060520493e-01   9.5273151831079894e-01  -4.7961634663806763e-14   5.558672712e-16   3.018983425e-01   3.888962329e-01   6.907945754e-01  -4.740652315e-14
 0.596903  -8.271675178e-01   5.619004568e-01   5.016723123e-01   3.108710328e-01   8.125433451e-01   5.619004568e-01   8.268554914e-01   5.084530417e-01   3.975884368e-01   9.060414785e-01   9.5273151831079117e-01  -5.5733195836182858e-14   6.008256954e-16   3.018983425e-01   3.975884368e-01   6.994867793e-01  -8.781864125e-14
 0.628319  -8.091127862e-01   5.875954515e-01   5.214983108e-01   3.128468304e-01   8.343451412e-01   5.875954515e-01   8.088044032e-01   4.995307553e-01   4.064999312e-01   9.060306865e-01   9.5273151831076963e-01  -7.7271522513910895e-14   7.623103137e-16   3.018983425e-01   4.064999312e-01   7.083982737e-01  -1.000310945e-13
 0.659734  -7.902599947e-01   6.127107731e-01   5.419905677e-01   3.151201809e-01   8.571107486e-01   6.127107731e-01   7.899553884e-01   4.904241509e-01   4.155955682e-01   9.060197191e-01   9.5273151831076996e-01  -7.6938455606523348e-14   1.314862564e-15   3.018983425e-01   4.155955682e-01   7.174939107e-01  -4.762856776e-14
 0.691150  -7.706277419e-01   6.372216441e-01   5.631019307e-01   3.177157960e-01   8.808177267e-01   6.372216441e-01   7.703270392e-01   4.811691512e-01   4.248394713e-01   9.060086225e-01   9.5273151831074843e-01  -9.8476782284251385e-14   3.925803413e-16   3.018983425e-01   4.248394713e-01   7.267378138e-01  -7.105427358e-14
 0.722566  -7.502353953e-01   6.611038830e-01   5.847841969e-01   3.206585102e-01   9.054427071e-01   6.611038830e-01   7.499387168e-01   4.718022659e-01   4.341951767e-01   9.059974426e-01   9.5273151831075709e-01  -8.9817042692175164e-14   8.739648767e-16   3.018983425e-01   4.341951767e-01   7.360935192e-01  -7.782663403e-14
 0.753982  -7.291030725e-01   6.843339287e-01   6.069882682e-01   3.239731474e-01   9.309614157e-01   6.843339287e-01   7.288105320e-01   4.623604483e-01   4.436257771e-01   9.059862254e-01   9.5273151831075742e-01  -8.9483975784787617e-14   1.383494589e-15   3.018983425e-01   4.436257771e-01   7.455241196e-01  -9.858780459e-14
 0.785398  -7.072516209e-01   7.068888632e-01   6.296643095e-01   3.276843879e-01   9.573486974e-01   7.068888632e-01   7.069633261e-01   4.528809493e-01   4.530940671e-01   9.059750164e-01   9.5273151831071423e-01  -1.3267165144270621e-13   1.104920195e-15   3.018983425e-01   4.530940671e-01   7.549924096e-01  -7.904787935e-14
 0.816814  -6.847025976e-01   7.287464343e-01   6.527619074e-01   3.318166330e-01   9.845785403e-01   7.287464343e-01   6.844186496e-01   4.434011703e-01   4.625626901e-01   9.059638605e-01   9.5273151831070357e-01  -1.4332979247910771e-13   2.072845897e-15   3.018983425e-01   4.625626901e-01   7.644610326e-01  -9.237055565e-14
 0.848230  -6.614782477e-01   7.498850780e-01   6.762302309e-01   3.363938706e-01   1.012624101e+00   7.498850780e-01   6.611987417e-01   4.339585161e-01   4.719942856e-01   9.059528018e-01   9.5273151831069103e-01  -1.5587531265737198e-13   2.032762744e-15   3.018983425e-01   4.719942856e-01   7.738926281e-01  -1.026956298e-13
 0.879646  -6.376014826e-01   7.702839394e-01   7.000181920e-01   3.414395407e-01   1.041457733e+00   7.702839394e-01   6.373265076e-01   4.245902469e-01   4.813516366e-01   9.059418835e-01   9.5273151831068359e-01  -1.6331380692236053e-13   1.045525128e-15   3.018983425e-01   4.813516366e-01   7.832499791e-01  -9.436895709e-14
 0.911062  -6.130958576e-01   7.899228932e-01   7.240746064e-01   3.469764019e-01   1.071051008e+00   7.899228932e-01   6.128254967e-01   4.153333313e-01   4.905978164e-01   9.059311477e-01   9.5273151831067471e-01  -1.7219559111936178e-13   1.988985115e-15   3.018983425e-01   4.905978164e-01   7.924961589e-01  -1.018074514e-13
 0.942478  -5.879855480e-01   8.087825640e-01   7.483483534e-01   3.530263990e-01   1.101374752e+00   8.087825640e-01   5.877198786e-01   4.062243004e-01   4.996963349e-01   9.059206353e-01   9.5273151831068237e-01  -1.6453505224944820e-13   2.029737930e-15   3.018983425e-01   4.996963349e-01   8.015946773e-01  -1.156852392e-13
 0.973894  -5.622953261e-01   8.268443449e-01   7.727885340e-01   3.596105336e-01   1.132399068e+00   8.268443449e-01   5.620344200e-01   3.972991039e-01   5.086112818e-01   9.059103858e-01   9.5273151831065284e-01  -1.9406698470447736e-13   1.499775381e-15   3.018983425e-01   5.086112818e-01   8.105096243e-01  -1.656452753e-13
 1.005310  -5.360505360e-01   8.440904163e-01   7.973446281e-01   3.667487368e-01   1.164093365e+00   8.440904163e-01   5.357944600e-01   3.885929675e-01   5.173074696e-01   9.059004371e-01   9.5273151831066027e-01  -1.8662849043948881e-13   8.088466033e-16   3.018983425e-01   5.173074696e-01   8.192058120e-01  -1.453281939e-13
 1.036726  -5.092770691e-01   8.605037632e-01   8.219666478e-01   3.744597446e-01   1.196426392e+00   8.605037632e-01   5.090258846e-01   3.801402542e-01   5.257505715e-01   9.058908257e-01   9.5273151831064018e-01  -2.0672352718520415e-13   9.048169890e-16   3.018983425e-01   5.257505715e-01   8.276489140e-01  -1.473265954e-13
 1.068142  -4.820013384e-01   8.760681922e-01   8.466052890e-01   3.827609780e-01   1.229366267e+00   8.760681922e-01   4.817551023e-01   3.719743283e-01   5.339072580e-01   9.058815864e-01   9.5273151831066671e-01  -1.8018919689666291e-13   2.341343138e-15   3.018983425e-01   5.339072580e-01   8.358056005e-01  -1.649791415e-13
